state,theta,T_us,n,parity_abs,omega_rad_s,Gamma_raw
GHZ,0.5235987755982988,2.5,1,0.7802734375,1256637.0614359174,99244.34393327138
PRODUCT,0.5235987755982988,2.5,1,0.5439453125,1256637.0614359174,243562.62626886764
GHZ,0.5235987755982988,2.5,2,0.796875,2513274.122871835,90822.98025413844
PRODUCT,0.5235987755982988,2.5,2,0.521484375,2513274.122871835,260430.38665570333
GHZ,0.5235987755982988,2.5,3,0.7890625,3769911.184307752,94763.89883134307
PRODUCT,0.5235987755982988,2.5,3,0.5546875,3769911.184307752,235740.15475132072
GHZ,0.5235987755982988,2.5,4,0.779296875,5026548.24574367,99745.28325985774
PRODUCT,0.5235987755982988,2.5,4,0.5263671875,5026548.24574367,256702.4938761824
GHZ,0.5235987755982988,2.5,5,0.8154296875,6283185.307179587,81616.03229943906
PRODUCT,0.5235987755982988,2.5,5,0.5625,6283185.307179587,230145.65796142476
GHZ,0.5235987755982988,2.5,6,0.7763671875,7539822.368615504,101251.8763780485
PRODUCT,0.5235987755982988,2.5,6,0.5,7539822.368615504,277258.87222397816
GHZ,0.5235987755982988,2.5,8,0.771484375,10053096.49148734,103775.54405535436
PRODUCT,0.5235987755982988,2.5,8,0.533203125,10053096.49148734,251541.13194181924
GHZ,0.5235987755982988,2.5,10,0.7880859375,12566370.614359174,95259.25493180173
PRODUCT,0.5235987755982988,2.5,10,0.4951171875,12566370.614359174,281184.320803308
GHZ,0.5235987755982988,3.5,1,0.7685546875,897597.9010256552,75212.44490915712
PRODUCT,0.5235987755982988,3.5,1,0.5048828125,897597.9010256552,195265.4088831497
GHZ,0.5235987755982988,3.5,2,0.7568359375,1795195.8020513104,79602.50749888745
PRODUCT,0.5235987755982988,3.5,2,0.4423828125,1795195.8020513104,233022.7657475483
GHZ,0.5235987755982988,3.5,3,0.7783203125,2692793.7030769656,71604.89337406801
PRODUCT,0.5235987755982988,3.5,3,0.5068359375,2692793.7030769656,194162.263552447
GHZ,0.5235987755982988,3.5,4,0.7685546875,3590391.604102621,75212.44490915712
PRODUCT,0.5235987755982988,3.5,4,0.4794921875,3590391.604102621,210007.9079442664
GHZ,0.5235987755982988,3.5,5,0.75390625,4487989.505128276,80710.64444990769
PRODUCT,0.5235987755982988,3.5,5,0.5107421875,4487989.505128276,191968.6690098658
GHZ,0.5235987755982988,3.5,6,0.7392578125,5385587.406153931,86316.7291891441
PRODUCT,0.5235987755982988,3.5,6,0.4873046875,5385587.406153931,205390.20281369556
GHZ,0.5235987755982988,3.5,8,0.783203125,7180783.208205242,69818.05649512532
PRODUCT,0.5235987755982988,3.5,8,0.470703125,7180783.208205242,215293.6261568151
GHZ,0.5235987755982988,3.5,10,0.767578125,8975979.010256551,75575.71804864188
PRODUCT,0.5235987755982988,3.5,10,0.474609375,8975979.010256551,212932.3376282741
GHZ,0.5235987755982988,4.5,1,0.7578125,698131.7007977318,61626.5078702743
PRODUCT,0.5235987755982988,4.5,1,0.4833984375,698131.7007977318,161536.45400683617
GHZ,0.5235987755982988,4.5,2,0.751953125,1396263.4015954635,63351.397944827455
PRODUCT,0.5235987755982988,4.5,2,0.4599609375,1396263.4015954635,172580.82479623007
GHZ,0.5235987755982988,4.5,3,0.7529296875,2094395.1023931955,63062.98489691636
PRODUCT,0.5235987755982988,4.5,3,0.4404296875,2094395.1023931955,182223.2146881722
GHZ,0.5235987755982988,4.5,4,0.7783203125,2792526.803190927,55692.69484649734
PRODUCT,0.5235987755982988,4.5,4,0.4697265625,2792526.803190927,167912.1189985982
GHZ,0.5235987755982988,4.5,5,0.751953125,3490658.503988659,63351.397944827455
PRODUCT,0.5235987755982988,4.5,5,0.4296875,3490658.503988659,187710.46193047691
GHZ,0.5235987755982988,4.5,6,0.7607421875,4188790.204786391,60769.05771748996
PRODUCT,0.5235987755982988,4.5,6,0.4521484375,4188790.204786391,176387.72255849311
GHZ,0.5235987755982988,4.5,8,0.7705078125,5585053.606381854,57934.55216746197
PRODUCT,0.5235987755982988,4.5,8,0.427734375,5585053.606381854,188722.86560511263
