file,task_id,hash,N,theta_deg,shots,parity
results (20).json,arn:aws:braket:us-west-1:977237383184:quantum-task/8268416a-4c56-4713-93ad-7409fa9ad6ac,8bf85064483dbda7c79d749da3775367151000f34f8c7d0edfd432317c5352b8,3,25.0,10000,0.5432
results (40).json,arn:aws:braket:us-west-1:977237383184:quantum-task/fc04c2dc-f805-4504-b623-ea1940a9f010,aa5bc87cf43ed4f29446ff710a9106bdbd0c4475877f54d3a120076d15803636,3,25.0,10000,0.5466
results (19).json,arn:aws:braket:us-west-1:977237383184:quantum-task/fc9b805f-1b3c-4a47-80b0-0a1768fefbba,97394b095034145920383cb72e6501b884efc775bb5d26909ddc43a09c487bf5,3,29.999999999999996,10000,0.6166
results (39).json,arn:aws:braket:us-west-1:977237383184:quantum-task/f9ab92d6-a967-4401-ab59-445e774ba59d,43fe53ff0262de016a0f5e02408ab36fd98eaaacd1c4447e530cf46b33a51538,3,29.999999999999996,10000,0.6304
results (18).json,arn:aws:braket:us-west-1:977237383184:quantum-task/6d931cab-ae51-4b98-a8bc-deb4fa022538,552d19a6b21be7cecad5fd721bd3b23129a4cd363e003309fc6cdf5e1f315879,3,35.0,10000,0.6964
results (38).json,arn:aws:braket:us-west-1:977237383184:quantum-task/86f71c7f-414f-47b6-9685-1d89cf93a769,9e77dc6d5b2976d7cc139c5f0d44d9b50cbae50cf9219c56427a2739a7230679,3,35.0,10000,0.6778
results (17).json,arn:aws:braket:us-west-1:977237383184:quantum-task/9355b871-f3bd-4f4e-9b00-5ee32e5c3730,487ee607e281b6446d582aed421ea17fc7c07d414460d89fa9c1ef6c37a7d1f4,3,40.0,10000,0.6948
results (37).json,arn:aws:braket:us-west-1:977237383184:quantum-task/95009527-23e9-4a12-807c-45a31c9f7d3f,49da20ce11c2ecf4740cfa460371146b52fa6f1c56d527f0f9eab28be7a0dba5,3,40.0,10000,0.7108
results (16).json,arn:aws:braket:us-west-1:977237383184:quantum-task/0508b0bb-2b94-4400-b162-f0144d020c2f,78d55b451307b9a2f8664d5b06631f0ec88e5e5879388e03ef0282ca8ba5c031,3,45.0,10000,0.7528
results (36).json,arn:aws:braket:us-west-1:977237383184:quantum-task/060c37ab-3cd3-4d1a-8bc3-a4cd7b6f8d0f,be9b104079a33797cce0f1be02c137bde63430dd338adfcb4200d7ee8cb25345,3,45.0,10000,0.7618
results (15).json,arn:aws:braket:us-west-1:977237383184:quantum-task/b5b5445e-6099-4637-8fd4-ee6bc1a4860e,a918f28f90a7b1979aaa0d5c288b59ce519ba85aa48329c25aa4d99f486f42fe,4,25.0,10000,0.4308
